,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
410,411,kcl,CT3,City of London - The Aldgate School,The Aldgate School,7,City of London,Urban Background,533480.0,181186.0,51.513847178423,-0.077765681752,2003-01-01,2023-06-30 01:00:00,2023,2003,POINT (533480.00004006 181186.00008438883)
231,232,kcl,CT2,City of London - Farringdon Street,Farringdon Street,7,City of London,Kerbside,531624.0,181217.0,51.5145253362314,-0.104515626337876,2003-01-01,2023-07-03 01:00:00,2023,2003,POINT (531624.000039503 181217.00008439762)
476,477,kcl,WMB,Westminster - Oxford Street East,"94 Oxford St, Fitzrovia ",33,Westminster,Roadside,529493.0,181331.0,51.516066,-0.13516388,2018-06-05 01:00:00,2023-06-08 01:00:00,2023,2018,POINT (529493.0000388634 181331.00008443237)
280,281,kcl,WMC,Westminster - Cavendish Square,"Cavendish Square, Marylebone ",33,Westminster,Roadside,528763.0,181397.0,51.5168016452062,-0.145657269364411,2018-05-31 13:00:00,2023-06-08 01:00:00,2023,2018,POINT (528763.0000386443 181397.00008445128)
142,143,kcl,CT5,City of London Black Smoke (CITY 16),City of London - Guildhall,650,DEFRA Black Smoke,Urban Background,532400.0,181400.0,51.5159886951131,-0.0932703994264833,1972-03-28 01:00:00,,2024,1972,POINT (532400.0000397358 181400.00008445367)
368,369,kcl,EA8,Ealing - Horn Lane,Horn Lane,9,Ealing,Industrial,520432.0,181428.0,51.518948,-0.265617,2005-02-25,,2024,2005,POINT (520432.000036144 181428.00008446217)
353,354,kcl,EI8,Ealing - Horn Lane TEOM,Horn Lane,9,Ealing,Industrial,520432.0,181428.0,51.5189160348806,-0.265652052386222,2005-02-25,,2024,2005,POINT (520432.000036144 181428.00008446217)
158,159,kcl,TL2,Roving Partisol PM2.5,TfL2 - TowerHamlets4,500,ERG Research,Roadside,538299.0,181449.0,51.5150170083421,-0.0082900489089199,2008-07-17 01:00:00,2022-03-03,2022,2008,POINT (538299.0000415063 181449.0000844677)
406,407,kcl,TH4,Tower Hamlets - Blackwall,Blackwall A12 Abbott Road junction,30,Tower Hamlets,Roadside,538290.0,181452.0,51.5150461674013,-0.0084184926564274,2006-09-08 01:00:00,2023-02-15,2023,2006,POINT (538290.0000415036 181452.0000844687)
328,329,kcl,TH0,Tower Hamlets 4 aethalometer,Blackwall A12 Abbott Street junction,500,ERG Research,Roadside,538290.0,181452.0,51.5150461674013,-0.0084184926564274,2010-09-08 01:00:00,2022-02-18,2022,2010,POINT (538290.0000415036 181452.0000844687)
